#wl_name;KWayland::ClientName
wl_buffer;Buffer
wl_compositor;Compositor
wl_data_device;DataDevice
wl_data_device_manager;DataDeviceManager
wl_data_offer;DataOffer
wl_data_source;DataSource
wl_event_queue;EventQueue
wl_keyboard;Keyboard
wl_output;Output
wl_pointer;Pointer
wl_region;Region
wl_registry;Registry
wl_seat;Seat
wl_shell;Shell
wl_shell_surface;ShellSurface
wl_shm;ShmPool
wl_subcompositor;SubCompositor
wl_subsurface;SubSurface
wl_surface;Surface
wl_touch;Touch
_wl_fullscreen_shell;FullscreenShell
org_kde_kwin_blur;Blur
org_kde_kwin_blur_manager;BlurManager
org_kde_kwin_contrast;Contrast
org_kde_kwin_contrast_manager;ContrastManager
org_kde_kwin_slide;Slide
org_kde_kwin_slide_manager;SlideManager
org_kde_kwin_fake_input;FakeInput
org_kde_kwin_idle;Idle
org_kde_kwin_idle_timeout;IdleTimeout
org_kde_kwin_outputmanagement;OutputManagement
org_kde_kwin_outputconfiguration;OutputConfiguration
org_kde_kwin_outputdevice;OutputDevice
org_kde_kwin_shadow;Shadow
org_kde_kwin_shadow_manager;ShadowManager
org_kde_plasma_shell;PlasmaShell
org_kde_plasma_surface;PlasmaShellSurface
org_kde_plasma_virtual_desktop_management;PlasmaVirtualDesktopManagement
org_kde_plasma_virtual_desktop;PlasmaVirtualDesktop
org_kde_plasma_window_management;PlasmaWindowManagement
org_kde_plasma_window;PlasmaWindow
org_kde_kwin_server_decoration_manager;ServerSideDecorationManager
org_kde_kwin_server_decoration;ServerSideDecoration
wl_text_input;TextInputUnstableV0
wl_text_input_manager;TextInputManagerUnstableV0
zwp_text_input_v2;TextInputUnstableV2
zwp_text_input_manager_v2;TextInputManagerUnstableV2
xdg_shell;XdgShellV5
xdg_surface;XdgSurfaceV5
xdg_popup;XdgPopupV5
xdg_toplevel;XdgShell
zxdg_shell_v6;XdgShellV6
zxdg_surface_v6;XdgSurfaceV6
zxdg_popup_v6;XdgPopupV6
zwp_relative_pointer_manager_v1;RelativePointerManagerUnstableV1
zwp_relative_pointer_v1;RelativePointerUnstableV1
zwp_pointer_gestures_v1;PointerGesturesUnstableV1
zwp_pointer_gesture_swipe_v1;PointerSwipeGestureUnstableV1
zwp_pointer_gesture_pinch_v1;PointerPinchGestureUnstableV1
zwp_pointer_constraints_v1;PointerConstraints
zwp_locked_pointer_v1;LockedPointer
zwp_confined_pointer_v1;ConfinedPointer
zwp_idle_inhibit_manager_v1;IdleInhibitManager
zwp_idle_inhibitor_v1;IdleInhibitor
org_kde_kwin_remote_access_manager;RemoteAccessManager
org_kde_kwin_remote_buffer;RemoteBuffer
zxdg_output_v1;XdgOutput
zxdg_output_manager_v1;XdgOutputManager
zxdg_decoration_manager_v1;XdgDecorationManager
zxdg_toplevel_decoration_v1;XdgDecoration
